cohort,gi_desc_bin_1,so_desc_bin_1,sss,sss_desc,sss_desc_bin,fsc,fsc_desc,fsc_desc_bin,fg_surv,id,card_id,arb_id,uo_email_address,campus_email
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,12170,12170,12370,12170@coolcats.edu,12170@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11140,11140,11340,11140@coolcats.edu,11140@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10266,10266,10466,10266@coolcats.edu,10266@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13688,13688,13888,13688@coolcats.edu,13688@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4304,4304,4504,4304@coolcats.edu,4304@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9286,9286,9486,9286@coolcats.edu,9286@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3229,3229,3429,3229@coolcats.edu,3229@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,14530,14530,14730,14530@coolcats.edu,14530@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3588,3588,3788,3588@coolcats.edu,3588@coolcats.edu
1920,NA,NA,9,9th Rung,Upper,NA,NA,Middle,NA,21338,21338,21538,21338@coolcats.edu,21338@coolcats.edu
1920,Woman,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,22277,22277,22477,22277@coolcats.edu,22277@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2932,2932,3132,2932@coolcats.edu,2932@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,478,478,678,478@coolcats.edu,478@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7840,7840,8040,7840@coolcats.edu,7840@coolcats.edu
NA,NA,NA,4,4th Rung,Lower,NA,NA,Upper,Continuing-Generation,8514,8514,8714,8514@coolcats.edu,8514@coolcats.edu
2021,NA,NA,NA,NA,NA,NA,NA,Middle,NA,19583,19583,19783,19583@coolcats.edu,19583@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10020,10020,10220,10020@coolcats.edu,10020@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8332,8332,8532,8332@coolcats.edu,8332@coolcats.edu
1920,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,21022,21022,21222,21022@coolcats.edu,21022@coolcats.edu
NA,NA,Straight or Heterosexual,5,5th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,12795,12795,12995,12795@coolcats.edu,12795@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,4098,4098,4298,4098@coolcats.edu,4098@coolcats.edu
1920,Woman,NA,6,6th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,25799,25799,25999,25799@coolcats.edu,25799@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6575,6575,6775,6575@coolcats.edu,6575@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8682,8682,8882,8682@coolcats.edu,8682@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2696,2696,2896,2696@coolcats.edu,2696@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,3,Middle Class,NA,NA,11722,11722,11922,11722@coolcats.edu,11722@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,13432,13432,13632,13432@coolcats.edu,13432@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5001,5001,5201,5001@coolcats.edu,5001@coolcats.edu
1819,Woman,LGBQ+,8,8th Rung,Upper,NA,NA,Lower,NA,40553,40553,40753,40553@coolcats.edu,40553@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16086,16086,16286,16086@coolcats.edu,16086@coolcats.edu
1819,Woman,LGBQ+,NA,NA,NA,3,Middle Class,NA,Continuing-Generation,39801,39801,40001,39801@coolcats.edu,39801@coolcats.edu
1617,Woman,LGBQ+,NA,NA,NA,1,Working Class,NA,First-Generation,45949,45949,46149,45949@coolcats.edu,45949@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15844,15844,16044,15844@coolcats.edu,15844@coolcats.edu
1819,Woman,LGBQ+,6,6th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,32812,32812,33012,32812@coolcats.edu,32812@coolcats.edu
1718,Woman,LGBQ+,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,41855,41855,42055,41855@coolcats.edu,41855@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,13677,13677,13877,13677@coolcats.edu,13677@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10976,10976,11176,10976@coolcats.edu,10976@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9671,9671,9871,9671@coolcats.edu,9671@coolcats.edu
1819,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,27672,27672,27872,27672@coolcats.edu,27672@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5913,5913,6113,5913@coolcats.edu,5913@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,First-Generation,12125,12125,12325,12125@coolcats.edu,12125@coolcats.edu
1920,Nonbinary,NA,NA,NA,NA,3,Middle Class,NA,First-Generation,21716,21716,21916,21716@coolcats.edu,21716@coolcats.edu
1819,Woman,NA,7,7th Rung,Middle,3,Middle Class,NA,Continuing-Generation,27134,27134,27334,27134@coolcats.edu,27134@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,12437,12437,12637,12437@coolcats.edu,12437@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8982,8982,9182,8982@coolcats.edu,8982@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11954,11954,12154,11954@coolcats.edu,11954@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14850,14850,15050,14850@coolcats.edu,14850@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16809,16809,17009,16809@coolcats.edu,16809@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14527,14527,14727,14527@coolcats.edu,14527@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11548,11548,11748,11548@coolcats.edu,11548@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17774,17774,17974,17774@coolcats.edu,17774@coolcats.edu
1819,Woman,LGBQ+,NA,NA,NA,3,Middle Class,NA,Continuing-Generation,39575,39575,39775,39575@coolcats.edu,39575@coolcats.edu
2223,NA,NA,NA,NA,NA,2,Lower-Middle Class,NA,First-Generation,16676,16676,16876,16676@coolcats.edu,16676@coolcats.edu
1617,Woman,LGBQ+,NA,NA,NA,2,Lower-Middle Class,NA,First-Generation,44398,44398,44598,44398@coolcats.edu,44398@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,26139,26139,26339,26139@coolcats.edu,26139@coolcats.edu
1819,Woman,LGBQ+,NA,NA,NA,1,Working Class,NA,Continuing-Generation,39781,39781,39981,39781@coolcats.edu,39781@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11230,11230,11430,11230@coolcats.edu,11230@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,13744,13744,13944,13744@coolcats.edu,13744@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1590,1590,1790,1590@coolcats.edu,1590@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15397,15397,15597,15397@coolcats.edu,15397@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3305,3305,3505,3305@coolcats.edu,3305@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10538,10538,10738,10538@coolcats.edu,10538@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14931,14931,15131,14931@coolcats.edu,14931@coolcats.edu
1718,Woman,LGBQ+,NA,NA,NA,4,Upper-Middle Class,NA,Continuing-Generation,42861,42861,43061,42861@coolcats.edu,42861@coolcats.edu
1819,Woman,LGBQ+,NA,NA,NA,4,Upper-Middle Class,NA,Continuing-Generation,36826,36826,37026,36826@coolcats.edu,36826@coolcats.edu
2021,NA,NA,NA,NA,NA,2,Lower-Middle Class,NA,First-Generation,19035,19035,19235,19035@coolcats.edu,19035@coolcats.edu
1920,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,20677,20677,20877,20677@coolcats.edu,20677@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6303,6303,6503,6303@coolcats.edu,6303@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8133,8133,8333,8133@coolcats.edu,8133@coolcats.edu
1819,Woman,LGBQ+,8,8th Rung,Upper,NA,NA,Lower,NA,38245,38245,38445,38245@coolcats.edu,38245@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11834,11834,12034,11834@coolcats.edu,11834@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,21134,21134,21334,21134@coolcats.edu,21134@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1181,1181,1381,1181@coolcats.edu,1181@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15698,15698,15898,15698@coolcats.edu,15698@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,21593,21593,21793,21593@coolcats.edu,21593@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2334,2334,2534,2334@coolcats.edu,2334@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15772,15772,15972,15772@coolcats.edu,15772@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,13334,13334,13534,13334@coolcats.edu,13334@coolcats.edu
1920,Woman,NA,10,Top Rung,Upper,NA,NA,Lower,NA,23704,23704,23904,23704@coolcats.edu,23704@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9670,9670,9870,9670@coolcats.edu,9670@coolcats.edu
NA,NA,NA,6,6th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,14826,14826,15026,14826@coolcats.edu,14826@coolcats.edu
1819,Woman,NA,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,30866,30866,31066,30866@coolcats.edu,30866@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16176,16176,16376,16176@coolcats.edu,16176@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15280,15280,15480,15280@coolcats.edu,15280@coolcats.edu
1920,Woman,NA,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,25630,25630,25830,25630@coolcats.edu,25630@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9851,9851,10051,9851@coolcats.edu,9851@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3319,3319,3519,3319@coolcats.edu,3319@coolcats.edu
2223,NA,NA,NA,NA,NA,NA,NA,Middle,NA,17065,17065,17265,17065@coolcats.edu,17065@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,18145,18145,18345,18145@coolcats.edu,18145@coolcats.edu
1920,Woman,NA,5,5th Rung,Middle,3,Middle Class,NA,Continuing-Generation,26273,26273,26473,26273@coolcats.edu,26273@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2575,2575,2775,2575@coolcats.edu,2575@coolcats.edu
1920,NA,NA,9,9th Rung,Upper,NA,NA,Middle,NA,21444,21444,21644,21444@coolcats.edu,21444@coolcats.edu
1718,Woman,LGBQ+,NA,NA,NA,2,Lower-Middle Class,NA,Continuing-Generation,42681,42681,42881,42681@coolcats.edu,42681@coolcats.edu
NA,NA,Straight or Heterosexual,3,3rd Rung,Lower,3,Middle Class,Upper,Continuing-Generation,12093,12093,12293,12093@coolcats.edu,12093@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4356,4356,4556,4356@coolcats.edu,4356@coolcats.edu
1920,NA,NA,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,21227,21227,21427,21227@coolcats.edu,21227@coolcats.edu
1819,Woman,LGBQ+,6,6th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,37907,37907,38107,37907@coolcats.edu,37907@coolcats.edu
2122,NA,NA,5,5th Rung,Middle,5,Upper Class,Upper,Continuing-Generation,18197,18197,18397,18197@coolcats.edu,18197@coolcats.edu
1819,Woman,LGBQ+,NA,NA,NA,3,Middle Class,NA,Continuing-Generation,39596,39596,39796,39596@coolcats.edu,39596@coolcats.edu
NA,NA,Straight or Heterosexual,3,3rd Rung,Lower,3,Middle Class,Upper,Continuing-Generation,10040,10040,10240,10040@coolcats.edu,10040@coolcats.edu
1920,NA,NA,5,5th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,20077,20077,20277,20077@coolcats.edu,20077@coolcats.edu
2021,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18965,18965,19165,18965@coolcats.edu,18965@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7068,7068,7268,7068@coolcats.edu,7068@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11063,11063,11263,11063@coolcats.edu,11063@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3088,3088,3288,3088@coolcats.edu,3088@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1086,1086,1286,1086@coolcats.edu,1086@coolcats.edu
2021,NA,NA,NA,NA,NA,3,Middle Class,NA,First-Generation,18580,18580,18780,18580@coolcats.edu,18580@coolcats.edu
1920,Woman,NA,7,7th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,25903,25903,26103,25903@coolcats.edu,25903@coolcats.edu
2223,NA,NA,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,16371,16371,16571,16371@coolcats.edu,16371@coolcats.edu
1920,NA,NA,7,7th Rung,Middle,3,Middle Class,NA,Continuing-Generation,20928,20928,21128,20928@coolcats.edu,20928@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10292,10292,10492,10292@coolcats.edu,10292@coolcats.edu
1920,NA,NA,10,Top Rung,Upper,NA,NA,Middle,NA,20998,20998,21198,20998@coolcats.edu,20998@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7831,7831,8031,7831@coolcats.edu,7831@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9234,9234,9434,9234@coolcats.edu,9234@coolcats.edu
1819,Woman,LGBQ+,6,6th Rung,Middle,3,Middle Class,NA,Continuing-Generation,34718,34718,34918,34718@coolcats.edu,34718@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,20232,20232,20432,20232@coolcats.edu,20232@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,15152,15152,15352,15152@coolcats.edu,15152@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7307,7307,7507,7307@coolcats.edu,7307@coolcats.edu
2021,NA,NA,NA,NA,NA,NA,NA,Middle,NA,19040,19040,19240,19040@coolcats.edu,19040@coolcats.edu
NA,NA,NA,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,13625,13625,13825,13625@coolcats.edu,13625@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8197,8197,8397,8197@coolcats.edu,8197@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,14788,14788,14988,14788@coolcats.edu,14788@coolcats.edu
1920,Nonbinary,NA,8,8th Rung,Upper,NA,NA,Middle,NA,21984,21984,22184,21984@coolcats.edu,21984@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3831,3831,4031,3831@coolcats.edu,3831@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,Middle,NA,15973,15973,16173,15973@coolcats.edu,15973@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4622,4622,4822,4622@coolcats.edu,4622@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,2738,2738,2938,2738@coolcats.edu,2738@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9703,9703,9903,9703@coolcats.edu,9703@coolcats.edu
1920,NA,NA,9,9th Rung,Upper,NA,NA,Middle,NA,21270,21270,21470,21270@coolcats.edu,21270@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6161,6161,6361,6161@coolcats.edu,6161@coolcats.edu
2021,NA,NA,NA,NA,NA,NA,NA,Middle,NA,19710,19710,19910,19710@coolcats.edu,19710@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1995,1995,2195,1995@coolcats.edu,1995@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1813,1813,2013,1813@coolcats.edu,1813@coolcats.edu
1920,NA,NA,9,9th Rung,Upper,NA,NA,Middle,NA,20208,20208,20408,20208@coolcats.edu,20208@coolcats.edu
2021,NA,NA,NA,NA,NA,4,Upper-Middle Class,Middle,NA,19931,19931,20131,19931@coolcats.edu,19931@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,3246,3246,3446,3246@coolcats.edu,3246@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8754,8754,8954,8754@coolcats.edu,8754@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,8366,8366,8566,8366@coolcats.edu,8366@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,222,222,422,222@coolcats.edu,222@coolcats.edu
1819,Woman,LGBQ+,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,33595,33595,33795,33595@coolcats.edu,33595@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,Middle,NA,16240,16240,16440,16240@coolcats.edu,16240@coolcats.edu
NA,NA,Straight or Heterosexual,6,6th Rung,Middle,2,Lower-Middle Class,Upper,Continuing-Generation,14962,14962,15162,14962@coolcats.edu,14962@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5363,5363,5563,5363@coolcats.edu,5363@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14433,14433,14633,14433@coolcats.edu,14433@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,18252,18252,18452,18252@coolcats.edu,18252@coolcats.edu
2223,NA,NA,7,7th Rung,Middle,3,Middle Class,Upper,Continuing-Generation,17141,17141,17341,17141@coolcats.edu,17141@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4258,4258,4458,4258@coolcats.edu,4258@coolcats.edu
1819,Woman,NA,6,6th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,27733,27733,27933,27733@coolcats.edu,27733@coolcats.edu
1920,Nonbinary,NA,5,5th Rung,Middle,4,Upper-Middle Class,NA,Continuing-Generation,21833,21833,22033,21833@coolcats.edu,21833@coolcats.edu
NA,NA,Straight or Heterosexual,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,14090,14090,14290,14090@coolcats.edu,14090@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,10560,10560,10760,10560@coolcats.edu,10560@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15599,15599,15799,15599@coolcats.edu,15599@coolcats.edu
2122,NA,NA,6,6th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18216,18216,18416,18216@coolcats.edu,18216@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,13702,13702,13902,13702@coolcats.edu,13702@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,1551,1551,1751,1551@coolcats.edu,1551@coolcats.edu
2122,NA,NA,NA,NA,NA,NA,NA,Middle,NA,18411,18411,18611,18411@coolcats.edu,18411@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7092,7092,7292,7092@coolcats.edu,7092@coolcats.edu
NA,Man,NA,NA,NA,NA,NA,NA,NA,NA,894,894,1094,894@coolcats.edu,894@coolcats.edu
1920,NA,NA,8,8th Rung,Upper,NA,NA,Middle,NA,20532,20532,20732,20532@coolcats.edu,20532@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Lower,NA,23581,23581,23781,23581@coolcats.edu,23581@coolcats.edu
NA,NA,Straight or Heterosexual,4,4th Rung,Lower,NA,NA,Upper,Continuing-Generation,6485,6485,6685,6485@coolcats.edu,6485@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,9230,9230,9430,9230@coolcats.edu,9230@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,18400,18400,18600,18400@coolcats.edu,18400@coolcats.edu
1819,Woman,LGBQ+,9,9th Rung,Upper,NA,NA,Lower,NA,35722,35722,35922,35722@coolcats.edu,35722@coolcats.edu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6291,6291,6491,6291@coolcats.edu,6291@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,NA,NA,NA,NA,11112,11112,11312,11112@coolcats.edu,11112@coolcats.edu
1920,Woman,NA,8,8th Rung,Upper,NA,NA,Middle,NA,22246,22246,22446,22246@coolcats.edu,22246@coolcats.edu
1718,Woman,LGBQ+,NA,NA,NA,4,Upper-Middle Class,NA,Continuing-Generation,42192,42192,42392,42192@coolcats.edu,42192@coolcats.edu
NA,NA,Straight or Heterosexual,NA,NA,NA,4,Upper-Middle Class,NA,First-Generation,12776,12776,12976,12776@coolcats.edu,12776@coolcats.edu
1920,Woman,NA,NA,NA,NA,2,Lower-Middle Class,NA,First-Generation,23141,23141,23341,23141@coolcats.edu,23141@coolcats.edu
2122,NA,NA,7,7th Rung,Middle,4,Upper-Middle Class,Upper,Continuing-Generation,17912,17912,18112,17912@coolcats.edu,17912@coolcats.edu
